external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Scd1,ENSMUSG00000037071,-0.557712118,0.181103785,0.509739925,-1.167030727,0.00513418,0.626339024,-0.55624814,0.182252173,0.757248254,-1.165566748,0.005190229,1,0
Sparc,ENSMUSG00000018593,-0.460007703,0.176215959,0.503280481,0.837935232,0.013750853,0.782214976,-0.910092785,0.007454484,0.279328256,0.387850151,0.254136752,1,0
Col3a1,ENSMUSG00000026043,-0.811059072,0.076337602,0.332323039,1.09934884,0.016289859,0.808543965,-1.260143229,0.005892658,0.253508193,0.650264683,0.155319396,1,0
Tpt1,ENSMUSG00000060126,0.76980312,0.012063388,0.126319421,0.504202635,0.100145686,0.962016865,0.293809126,0.338012279,0.873050031,0.028208641,0.926710197,1,0
Atp5f1b,ENSMUSG00000025393,0.686231973,0.014562711,0.140095779,0.402855889,0.151508301,0.962016865,0.076873178,0.784328752,0.981370564,-0.206502905,0.462236353,1,0
Adipoq,ENSMUSG00000022878,-0.366121435,0.23669186,0.57917965,-0.535590789,0.083439815,0.962016865,-0.173608732,0.574740319,0.956272373,-0.343078086,0.267480656,1,0
Col1a2,ENSMUSG00000029661,-0.51640146,0.191084892,0.524496294,1.080626343,0.006221103,0.670125294,-1.080213341,0.006241821,0.262602307,0.516814462,0.19072231,1,0
Atp5f1a,ENSMUSG00000025428,0.930858152,0.00307133,0.059247012,0.577607171,0.066205984,0.962016865,0.137921309,0.660909307,0.968819509,-0.215329672,0.493459374,1,0
Col1a1,ENSMUSG00000001506,-0.812685988,0.097643932,0.37559489,1.549594211,0.001586604,0.396670602,-1.389717596,0.004618831,0.227299527,0.972562603,0.047450988,1,0
Rpsa,ENSMUSG00000032518,0.298153756,0.139682845,0.451558098,0.344627814,0.087789026,0.962016865,-0.027687713,0.890906834,0.992623792,0.018786345,0.925854259,1,0
Ppp2r5a,ENSMUSG00000026626,-0.461588686,0.1486308,0.467081724,-0.427732591,0.180730971,0.964324095,-0.284609924,0.373167323,0.890101882,-0.25075383,0.432620036,1,0
Pcx,ENSMUSG00000024892,-0.526722628,0.152364732,0.472078953,-0.524453114,0.154106593,0.962016865,-0.531448802,0.148727873,0.730767194,-0.529179287,0.150420071,1,0
Lars2,ENSMUSG00000035202,0.187138453,0.838070628,0.955286822,1.702109008,0.06306202,0.962016865,-0.689230134,0.451649322,0.922784436,0.825740421,0.367201033,1,0
Malat1,ENSMUSG00000092341,-0.034915072,0.959698087,0.992806397,-1.200215621,0.082369097,0.962016865,-0.040350494,0.953431038,0.998007965,-1.205651043,0.080988112,1,0
Ywhag,ENSMUSG00000051391,-0.2376785,0.406651232,0.73412563,-0.458686758,0.10927667,0.962016865,-0.034056634,0.905359372,0.994318114,-0.255064892,0.373152593,1,0
Rplp1,ENSMUSG00000007892,0.260911401,0.153516491,0.473559977,0.37927113,0.038016096,0.915023213,-0.10414875,0.568874979,0.955986646,0.014210978,0.938037758,1,0
Hp,ENSMUSG00000031722,0.027531565,0.949837615,0.990495143,-0.34410605,0.431683092,1,-0.071120609,0.870903224,0.992190672,-0.442758225,0.311654207,1,0
mt-Rnr2,ENSMUSG00000064339,1.243402802,0.221013707,0.560442277,1.81050024,0.074747497,0.962016865,-0.440564054,0.664552234,0.968819509,0.126533384,0.900887122,1,0
Cdo1,ENSMUSG00000033022,-0.335336203,0.150235485,0.469423719,-0.705288539,0.002476077,0.489854588,-0.116089664,0.618478223,0.963426928,-0.486042001,0.037002851,1,0
Ybx1,ENSMUSG00000028639,0.766248114,0.004480565,0.0736439,0.311442847,0.248024595,0.974532838,0.35165503,0.192104846,0.769289531,-0.103150237,0.702025805,1,0
Plaat3,ENSMUSG00000060675,-0.173159302,0.498098095,0.798459668,-0.325402719,0.202940292,0.967822701,-0.116196784,0.649404184,0.968819509,-0.268440201,0.29353086,1,0
Rps14,ENSMUSG00000024608,0.48753189,0.079579982,0.339042108,0.40586191,0.14444871,0.962016865,0.065016048,0.815144049,0.985240159,-0.016653932,0.952247505,1,0
