external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
mt-Co1,ENSMUSG00000064351,1.29125523,0.005767826,0.083852919,0.490966934,0.293862728,0.982279162,0.160309482,0.731793141,0.973820647,-0.639978814,0.171227406,1
Scd1,ENSMUSG00000037071,-0.557712118,0.181103785,0.509739925,-1.167030727,0.00513418,0.626339024,-0.55624814,0.182252173,0.757248254,-1.165566748,0.005190229,1
mt-Cytb,ENSMUSG00000064370,1.235227238,0.009070495,0.108074495,0.425429612,0.36880681,0.995229895,0.133912608,0.777262999,0.981324142,-0.675885018,0.153352674,1
Car3,ENSMUSG00000027559,-0.17127308,0.57484358,0.844406247,-0.492974635,0.106412324,0.962016865,0.100940297,0.740957369,0.976125639,-0.220761259,0.469671509,1
Gsn,ENSMUSG00000026879,-0.30354503,0.304320815,0.645579186,-0.644971257,0.029064144,0.883122691,0.152702538,0.605330793,0.962079529,-0.188723689,0.523047715,1
Prg4,ENSMUSG00000006014,-0.016819443,0.96697349,0.995411231,0.243514084,0.548867071,1,-0.132348812,0.744573579,0.976766872,0.127984716,0.752715915,1
Cfd,ENSMUSG00000061780,-0.368120907,0.260562547,0.601881695,-0.121798586,0.709709689,1,-0.314995478,0.33569994,0.87125327,-0.068673156,0.83375947,1
mt-Nd1,ENSMUSG00000064341,1.652275061,0.016257808,0.148845557,0.846474401,0.218278705,0.97006561,0.177289371,0.796521739,0.982551479,-0.628511289,0.360659948,1
NA,ENSMUSG00000106106,0.520568555,0.550617189,0.829441148,1.235946566,0.156476909,0.962016865,0.100198866,0.908541167,0.994627617,0.815576877,0.349755775,1
Fn1,ENSMUSG00000026193,-0.378636151,0.324700389,0.665736037,0.344311601,0.370485433,0.995621502,-0.23698967,0.537619985,0.947721597,0.485958083,0.20623204,1
mt-Nd4,ENSMUSG00000064363,1.278635845,0.008253603,0.102594514,0.453927999,0.348365036,0.98891856,0.21501655,0.656897123,0.968819509,-0.609691296,0.207831517,1
